éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
ÇÃ	306E	73163	9294
ÅA	3001	63201	8482
Ç¢	3044	53880	9252
ÇΩ	305F	44384	9279
Çƒ	3066	43872	9286
Ç…	306B	42713	9291
Ç∆	3068	39661	9288
Çµ	3057	38392	9271
Ç»	306A	37552	9290
ÅB	3002	35910	8483
ÇÕ	306F	34878	9295
ÇÈ	308B	32023	9323
Ç©	304B	30975	9259
Ç	3092	30932	9330
Ç¡	3063	30412	9283
Ç≈	3067	29059	9287
Ç™	304C	28562	9260
Ç§	3046	25657	9254
Ç‡	3082	24255	9314
ÇÁ	3089	22065	9321
ÇÍ	308C	20538	9324
Ç±	3053	19840	9267
Ç‹	307E	19403	9310
Ç†	3042	18168	9250
Å¨â¸çs	3013	17508	8750
ÇË	308A	17456	9322
Çª	305D	16456	9277
ÇÒ	3093	15314	9331
Ç∑	3059	14490	9273
Ç≠	304F	14049	9263
Çæ	3060	13793	9280
Å@	3000	12006	8481
ÇÊ	3088	10378	9320
Ç´	304D	9984	9261
Ç≥	3055	9689	9269
Ç®	304A	8628	9258
Ç¶	3048	8562	9256
ÇØ	3051	8451	9265
Ç¬	3064	8286	9284
Åu	300C	7758	8534
Åv	300D	7758	8535
êl	4EBA	7122	16205
Ç«	3069	6886	9289
ÇÌ	308F	6598	9327
àÍ	4E00	6048	12396
Çø	3061	5951	9281
ÇÎ	308D	5810	9325
Ç‚	3084	5711	9316
Çﬂ	3081	5480	9313
Çπ	305B	5254	9275
å©	898B	4828	14379
ÇŒ	3070	4804	9296
Ç÷	3078	4511	9304
èo	51FA	4235	15696
Åc	2026	4164	8516
Ç∂	3058	4068	9272
Ç∏	305A	3803	9274
Ç›	307F	3779	9311
óà	6765	3317	19816
Å\	2015	3112	8509
éO	4E09	3106	15152
év	601D	3064	15191
éû	6642	2996	15230
éñ	4E8B	2928	15222
åæ	8A00	2913	14400
ÇÀ	306D	2894	9293
éÑ	79C1	2859	15204
ì˙	65E5	2849	18044
é©	81EA	2823	15403
èó	5973	2792	15735
ï™	5206	2771	18988
è„	4E0A	2755	15973
ê∂	751F	2693	16440
íÜ	4E2D	2688	17254
ëÂ	5927	2683	16999
éq	5B50	2676	15186
çs	884C	2642	14676
ãC	6C17	2523	13604
éË	624B	2427	15466
ìÒ	4E8C	2404	18035
ÇŸ	307B	2317	9307
Ç≤	3054	2294	9268
Ç·	3083	2282	9315
ä‘	9593	2173	13398
ï˚	65B9	2109	19069
âΩ	4F55	2075	12863
òY	90CE	2067	20282
é“	8005	2046	15444
Éì	30F3	1929	9587
él	56DB	1927	15181
ëO	524D	1901	16688
Ç¥	3056	1897	9270
îﬁ	5F7C	1880	18528
Ç∞	3052	1872	9266
ÇÂ	3087	1858	9319
ñ{	672C	1837	19292
Å[	30FC	1831	8508
óß	7ACB	1829	20009
Ç–	3072	1796	9298
â∫	4E0B	1794	12860
Ç◊	3079	1788	9305
ÅX	3005	1727	8505
ím	77E5	1727	17230
êS	5FC3	1697	16180
ï®	7269	1648	18986
äw	5B66	1642	13144
Çﬁ	3080	1639	9312
è\	5341	1635	15677
è¨	5C0F	1610	15918
Ç—	3073	1577	9299
â∆	5BB6	1561	12872
ç°	4ECA	1558	14883
çë	56FD	1494	14705
Ç 	306C	1428	9292
ñ⁄	76EE	1427	19548
îN	5E74	1404	18223
ñ≥	7121	1324	19509
êÊ	5148	1312	16488
ï∑	805E	1310	19001
Éb	30C3	1307	9539
â]	4E91	1301	12606
Ç”	3075	1269	9301
ìñ	5F53	1252	17782
ìI	7684	1243	17706
ò_	8AD6	1240	20288
Ç¨	304E	1232	9262
å˚	53E3	1231	14461
ÉA	30A2	1221	9506
ÇÆ	3050	1215	9264
çá	5408	1214	14695
ìØ	540C	1204	17969
âÆ	5C4B	1184	12848
Éä	30EA	1164	9578
Ç‘	3076	1156	9302
é¿	5B9F	1151	15426
èä	6240	1148	15722
Éã	30EB	1138	9579
éù	6301	1133	15229
äÁ	9854	1121	13417
ì¸	5165	1106	18046
ìc	7530	1102	17732
ïs	4E0D	1098	18772
òb	8A71	1097	20291
à”	610F	1087	12373
ñæ	660E	1082	19520
ín	5730	1073	17231
í 	901A	1064	17484
Ég	30C8	1062	9544
ól	69D8	1054	19789
ÉC	30A4	1046	9508
å„	5F8C	1031	14437
ìx	5EA6	1028	17753
âÔ	4F1A	1017	12913
å¸	5411	1013	14462
éÂ	4E3B	1010	15463
ÉX	30B9	1004	9529
íj	7537	1001	17227
è≠	5C11	987	15919
éR	5C71	984	15155
êg	8EAB	983	16200
äO	5916	964	13104
Ç‰	3086	962	9318
å‹	4E94	953	14430
ëR	7136	952	16691
ä¥	611F	941	13366
åN	541B	928	14127
ë„	4EE3	927	16997
éÊ	53D6	923	15464
ï∂	6587	905	19000
èÍ	5834	904	15980
ñÏ	91CE	901	19566
å‰	5FA1	899	14438
ìπ	9053	893	17979
ñº	540D	892	19518
ê¢	4E16	885	16420
Éâ	30E9	883	9577
ñ 	9762	866	19532
çl	8003	863	14669
ñÂ	9580	850	19559
îh	6D3E	848	18249
èë	66F8	841	15729
êV	65B0	831	16183
ê∫	58F0	829	16444
î¸	7F8E	823	18558
îí	767D	821	18290
ìÆ	52D5	820	17968
óù	7406	818	19837
ê≠	653F	807	16431
ë´	8DB3	804	16941
ïó	98A8	794	18807
ëä	76F8	791	16746
ñÈ	591C	776	19563
Çº	305E	775	9278
ì‡	5185	770	18018
ëÃ	4F53	766	16974
èŒ	7B11	758	15952
çÇ	9AD8	756	14690
éü	6B21	746	15393
ãﬂ	8FD1	742	13921
êÿ	5207	737	16474
ï‡	6B69	730	19042
ãA	5E30	723	13602
ã‡	91D1	718	13922
ÉN	30AF	714	9519
ñØ	6C11	705	19505
óÕ	529B	693	20047
í∑	9577	692	17465
ÉJ	30AB	689	9515
ñ°	5473	682	19491
åé	6708	680	14190
êM	4FE1	674	16174
êF	8272	673	16167
âE	53F3	671	12582
ä·	773C	670	13411
ì™	982D	670	17964
éÄ	6B7B	669	15200
ñl	50D5	668	19277
à¯	5F15	661	12410
íÖ	7740	658	17253
êÖ	6C34	653	16229
óp	7528	646	19793
çÏ	4F5C	643	14958
ïî	90E8	641	18804
ï‘	8FD4	635	19030
êe	89AA	634	16198
ëS	5168	632	16692
éµ	4E03	625	15415
ó^	4E0E	621	19775
ëΩ	591A	617	16959
ï 	5225	616	19020
Ç⁄	307C	615	9308
Éç	30ED	615	9581
ê^	771F	615	16191
â‰	6211	611	12902
ÅI	FF01	609	8490
åÀ	6238	609	14413
ïΩ	5E73	606	19007
íB	9054	601	17187
ÅE	30FB	599	8486
êH	98DF	597	16169
åª	73FE	595	14397
Ç√	3065	594	9285
çD	597D	594	14629
çû	8FBC	593	14718
óé	843D	590	19822
î≠	767A	588	18479
ñÿ	6728	585	19546
èÓ	60C5	583	15984
ÉL	30AD	582	9517
ìV	5929	576	17719
î™	516B	576	18476
ê_	795E	575	16192
ëŒ	5BFE	575	16976
âq	885B	574	12626
Éh	30C9	572	9545
à·	9055	572	12387
èï	52A9	572	15733
É`	30C1	571	9537
à´	60AA	569	12333
ìæ	5F97	568	17984
ïÉ	7236	564	18787
òZ	516D	564	20283
Ç∫	305C	562	9276
íu	7F6E	559	17238
ÉE	30A6	557	9510
à»	4EE5	554	12362
ãN	8D77	553	13615
Åi	FF08	551	8522
Åj	FF09	550	8523
ê‡	8AAC	549	16482
äà	6D3B	545	13160
ÉV	30B7	544	9527
ç≈	6700	537	14919
ót	8449	537	19797
ÅH	FF1F	536	8489
ïœ	5909	535	19025
ã≥	6559	533	13877
ãv	4E45	531	13655
ã`	7FA9	528	13633
éd	4ED5	528	15173
ìå	6771	527	17772
âπ	97F3	526	12859
ãè	5C45	525	13679
í¨	753A	525	17454
în	99AC	520	18255
ëÊ	7B2C	518	17000
ê≥	6B63	509	16437
êÌ	6226	505	16495
é·	82E5	503	15459
óR	7531	503	19763
ñ‚	554F	499	19556
å√	53E4	490	14405
äo	899A	489	13136
å¥	539F	488	14390
îº	534A	488	18494
ñΩ	547D	488	19519
ã}	6025	485	13662
ãÛ	7A7A	479	13941
íº	76F4	477	17470
óL	6709	475	19757
êº	897F	474	16446
ó¨	6D41	473	20014
ïÍ	6BCD	472	19052
ã„	4E5D	471	13925
Çœ	3071	466	9297
Ét	30D5	466	9557
ét	5E2B	464	15189
é–	793E	464	15442
êŒ	77F3	464	16464
É}	30DE	463	9566
ñ@	6CD5	463	19233
ém	58EB	460	15182
ëz	60F3	459	16731
é‘	8ECA	457	15446
ç∂	5DE6	452	14904
îÚ	98DB	450	18548
åÍ	8A9E	446	14444
ê´	6027	444	16429
âì	9060	442	12659
óv	8981	441	19799
êî	6570	440	16244
ëÅ	65E9	440	16737
ëæ	592A	438	16960
ép	59FF	436	15185
ë“	5F85	427	16980
òA	9023	427	20258
à¿	5B89	426	12354
èÌ	5E38	422	15983
çL	5E83	420	14637
âﬂ	904E	419	12897
ñ∫	5A18	415	19516
ãÍ	82E6	414	13932
ë¢	9020	414	16932
âŒ	706B	413	12880
êi	9032	412	16202
í©	671D	412	17451
éÅ	6C0F	411	15201
